                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78603,                 1.4466,                 1.5365,                 1.1295,                0.89364,                0.73294,                 0.8557,                0.75748,                0.89078,                0.73099,                0.84858,                0.72214,                 0.5468,                0.67687,                 1.4275,                0.84473,             0.00065972,             0.00065972,             0.00065972
                      2,                0.66082,                0.62052,                0.87543,                 1.0202,                0.82341,                0.87258,                0.91963,                0.81708,                0.82157,                0.87063,                0.91815,                0.79682,                0.55523,                0.58686,                 1.1527,                0.79914,              0.0013133,              0.0013133,              0.0013133
                      3,                0.69305,                0.59561,                0.85395,                 1.0286,                0.88075,                0.89669,                0.94169,                0.82036,                0.88127,                0.89474,                0.93923,                0.77235,                0.63656,                 0.9277,                 1.1248,                0.86481,              0.0019536,              0.0019536,              0.0019536
                      4,                0.68804,                0.60751,                0.82557,                 1.0309,                0.93947,                0.90764,                0.95583,                0.85813,                0.93907,                0.90136,                0.94897,                0.82061,                0.57311,                0.56775,                0.85032,                0.82877,              0.0019406,              0.0019406,              0.0019406
                      5,                0.64232,                0.53292,                 0.7802,                  1.009,                0.87224,                0.93567,                0.94781,                0.85704,                0.87042,                0.93372,                0.94464,                0.83323,                0.50907,                0.43412,                0.90297,                0.76932,              0.0019406,              0.0019406,              0.0019406
                      6,                0.62574,                0.50059,                0.72167,                 1.0064,                 0.9084,                0.96686,                0.96382,                0.89757,                0.90657,                0.96491,                0.95966,                0.87638,                0.46657,                0.42962,                0.73114,                0.75217,              0.0019208,              0.0019208,              0.0019208
                      7,                0.58996,                0.46943,                0.68973,                0.98658,                0.90738,                0.94347,                0.94369,                0.85772,                0.90493,                0.94152,                0.93991,                0.83903,                0.46661,                 0.4167,                0.82288,                0.77202,               0.001901,               0.001901,               0.001901
                      8,                  0.586,                0.48004,                0.66818,                 0.9785,                 0.9038,                0.91813,                 0.9404,                0.86986,                0.90067,                0.92008,                0.93811,                0.83073,                 0.4189,                0.61704,                0.89662,                0.73802,              0.0018812,              0.0018812,              0.0018812
                      9,                0.57898,                0.45149,                0.62971,                0.98468,                0.90936,                0.93879,                 0.9577,                0.87829,                0.90559,                0.93489,                0.95071,                0.84427,                0.43107,                0.46235,                 1.0564,                0.75378,              0.0018614,              0.0018614,              0.0018614
                     10,                0.56476,                 0.4593,                0.61573,                0.98228,                0.91753,                 0.9326,                0.95523,                0.89574,                0.91654,                0.92982,                0.95423,                0.87484,                0.41201,                0.34801,                0.73098,                0.74901,              0.0018416,              0.0018416,              0.0018416
                     11,                0.54894,                0.44175,                0.58967,                0.96505,                0.92389,                0.94657,                0.96744,                0.90381,                0.92192,                0.94362,                0.96298,                0.89222,                0.40552,                0.35608,                0.76032,                0.72541,              0.0018218,              0.0018218,              0.0018218
                     12,                0.52337,                0.43444,                0.56386,                0.94352,                0.91399,                0.93567,                0.96243,                0.89841,                0.92011,                0.93177,                 0.9626,                0.85036,                0.41643,                0.59041,                0.61863,                 0.7459,               0.001802,               0.001802,               0.001802
                     13,                0.52208,                  0.427,                0.55795,                0.94695,                0.92388,                0.95127,                0.95983,                 0.9031,                0.92388,                0.95127,                0.95851,                0.89519,                0.38353,                0.28896,                0.55238,                0.73299,              0.0017822,              0.0017822,              0.0017822
                     14,                0.52991,                0.39201,                0.54735,                0.95681,                0.92503,                0.94932,                0.95278,                0.88647,                0.92503,                0.94932,                0.95373,                0.87881,                0.40722,                 0.3556,                0.67265,                0.72618,              0.0017624,              0.0017624,              0.0017624
                     15,                0.51301,                0.40328,                0.51077,                0.94146,                0.91789,                0.93707,                 0.9493,                0.90094,                 0.9175,                0.93372,                0.94846,                0.88854,                0.36471,                0.32515,                0.64204,                0.71796,              0.0017426,              0.0017426,              0.0017426
                     16,                0.51753,                0.38601,                 0.5383,                0.94597,                0.93218,                0.96454,                0.96792,                 0.9118,                0.93065,                0.96296,                0.96653,                0.88942,                0.35622,                0.35366,                0.54422,                0.70218,              0.0017228,              0.0017228,              0.0017228
                     17,                0.50016,                0.38103,                0.50934,                0.93201,                0.92265,                0.96296,                0.96809,                0.92344,                0.92079,                0.96101,                0.96251,                0.89551,                 0.3594,                0.34811,                0.55229,                0.70039,               0.001703,               0.001703,               0.001703
                     18,                 0.4982,                0.41212,                 0.5085,                 0.9489,                0.93405,                0.96881,                0.97412,                0.92846,                0.93405,                0.96881,                0.97309,                0.91137,                0.34913,                0.33884,                0.51204,                0.71372,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.4903,                 0.3812,                0.49615,                0.93456,                0.94083,                0.96296,                0.97383,                0.93486,                0.94083,                0.96296,                0.97249,                0.91122,                0.32248,                0.27114,                0.55494,                0.68799,              0.0016634,              0.0016634,              0.0016634
